# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  4.2617E+02  3.1800E-02 -9.2814E-03
  4.2715E+02  3.1758E-02 -9.2863E-03
  4.2812E+02  3.1716E-02 -9.2911E-03
  4.2909E+02  3.1675E-02 -9.2960E-03
  4.3007E+02  3.1633E-02 -9.3008E-03
  4.3104E+02  3.1594E-02 -9.3056E-03
  4.3201E+02  3.1556E-02 -9.3104E-03
  4.3299E+02  3.1521E-02 -9.3152E-03
  4.3396E+02  3.1485E-02 -9.3200E-03
  4.3493E+02  3.1449E-02 -9.3247E-03
  4.3590E+02  3.1412E-02 -9.3295E-03
  4.3688E+02  3.1376E-02 -9.3341E-03
  4.3785E+02  3.1342E-02 -9.3388E-03
  4.3882E+02  3.1309E-02 -9.3434E-03
  4.3980E+02  3.1274E-02 -9.3479E-03
  4.4077E+02  3.1239E-02 -9.3524E-03
  4.4174E+02  3.1201E-02 -9.3569E-03
  4.4272E+02  3.1164E-02 -9.3612E-03
  4.4369E+02  3.1127E-02 -9.3655E-03
  4.4466E+02  3.1089E-02 -9.3697E-03
  4.4563E+02  3.1049E-02 -9.3738E-03
  4.4661E+02  3.1007E-02 -9.3779E-03
  4.4758E+02  3.0963E-02 -9.3818E-03
  4.4855E+02  3.0918E-02 -9.3856E-03
  4.4953E+02  3.0872E-02 -9.3894E-03
  4.5050E+02  3.0825E-02 -9.3930E-03
  4.5147E+02  3.0777E-02 -9.3966E-03
  4.5245E+02  3.0726E-02 -9.4000E-03
  4.5342E+02  3.0674E-02 -9.4033E-03
  4.5439E+02  3.0621E-02 -9.4066E-03
  4.5536E+02  3.0567E-02 -9.4097E-03
  4.5634E+02  3.0513E-02 -9.4128E-03
